day,equity_a,equity_b,diff_pct
0,1.001,1.00100001,9.990010051318475e-07
1,0.9916120055769564,0.9916120210945846,1.5648890747901973e-06
2,0.9835071218766362,0.9835071283384696,6.570194781008581e-07
3,0.9761734250463527,0.9761734436068848,1.9013559765224748e-06
4,0.9663231572069156,0.9663231659064028,9.002668504288617e-07
5,0.9600304500770684,0.960030462605355,1.304988436025284e-06
6,0.9506774814703092,0.9506774985680131,1.7984757128560551e-06
7,0.9433913215762874,0.943391337430858,1.6805931989490339e-06
8,0.9367754998410641,0.9367755237187702,2.5489250551547794e-06
9,0.9274252674271557,0.9274252953899069,3.015094732117877e-06
10,0.9228782687562929,0.9228783056047464,3.992774918092916e-06
11,0.9121151708650498,0.912115237842287,7.3430674570551495e-06
12,0.9090654513785525,0.9090655199358569,7.541514102732219e-06
13,0.9038533027930802,0.9038536890890944,4.2738777175962125e-05
14,0.9117612396732615,0.9117644062165922,0.0003472984149268175
15,0.9077628969712025,0.907767043247508,0.00045675554497809253
16,0.9017904029265799,0.9017966533219374,0.0006931047409064366
17,0.8879253279987646,0.8879225775746753,0.00030975849010394987
18,0.8886670933599506,0.8886691308585531,0.00022927527600001785
19,0.8918599594925463,0.8918452578030559,0.0016484302646263625
20,0.9038759046630591,0.9038248702178853,0.0056461782984326666
21,0.9052331378470881,0.9052345973677811,0.00016123120981170313
22,0.9017875885022951,0.9018918402798899,0.011559232819138588
23,0.8907772245326959,0.8967961195722558,0.6711553393463285
24,0.8938488339145758,0.9022403645128402,0.9300770535571554
25,0.891786404796199,0.9054136258897527,1.5050823959228834
26,0.8813233697065662,0.9080303255250725,2.94119646313165
27,0.8744552177859122,0.9002526849580609,2.8655806978626788
28,0.8744635146826956,0.8958178543389086,2.3837814297608526
29,0.879201595081517,0.8838312028922964,0.5238113109866797
30,0.8878765545183225,0.8827727459292045,0.5748331300274965
31,0.8903802586920913,0.8842075981490981,0.6932611637257513
32,0.8962843917700402,0.8724412890709871,2.660216212397295
33,0.8899691160980451,0.8682507952881837,2.4403454476131192
34,0.8908552838152867,0.8679556029853989,2.5705275869066866
35,0.8875247661537632,0.8745740802764319,1.4591914920250892
36,0.8995841383013916,0.8808257193621088,2.085232291301033
37,0.9056826822218906,0.8805140264563605,2.778970632825229
38,0.9011301079009534,0.8866405539306201,1.6079314011696353
39,0.8886277087881345,0.8954097744876678,0.7574259174704521
40,0.8809202016116147,0.8961276188788833,1.6970146826067154
41,0.885289850781811,0.890289561019412,0.5615824846779289
42,0.8970629411041706,0.8771016351040519,2.225184553443804
43,0.898030335713406,0.8776237080837748,2.2723762013473547
44,0.8967002989588845,0.8804975570824669,1.8069294607384199
45,0.9085060293386211,0.8843785820256751,2.6557278139926543
46,0.9116541827694798,0.8780123530318742,3.6901963895351644
47,0.913361156272787,0.8749329269040012,4.207342200275132
48,0.9143190994412886,0.8675985223669529,5.109876530292893
49,0.9031779656099547,0.8718590732200383,3.4676324691740437
50,0.8998715444095684,0.8715406797002994,3.14832321182661
51,0.8877785025594153,0.8786690769239379,1.0260921625400234
52,0.8852059087818218,0.8840362626966322,0.13213265677352612
53,0.883270697848403,0.8843713424245042,0.12445502508978236
54,0.8786032145506084,0.8781107045276965,0.05605602332833061
55,0.8862462480788432,0.8718511931537889,1.6242725942433214
56,0.8856969635550611,0.8695940191140027,1.818109929656245
57,0.8894431637653493,0.8726215124796386,1.8912564592096317
58,0.8757994061951124,0.8650432638387624,1.2281513643723292
59,0.8774093242534332,0.8626992445276879,1.6765356053472305
60,0.879863470154414,0.8604158512702825,2.2102996139524325
61,0.8914244592878254,0.8687957494165774,2.5384887788839063
62,0.8935512918869318,0.8716209682092739,2.454288173132978
63,0.8919342758991101,0.881444594732548,1.1760598790743917
64,0.8813721686812096,0.8761131868651719,0.5966811754342836
65,0.8786489247960174,0.8749426127910659,0.4218194435066277
66,0.8767803479669256,0.8744278882215816,0.26830662329498045
67,0.889263442349507,0.8846996446795008,0.5132109848065187
68,0.8925934131855582,0.8881133151935179,0.5019192306216298
69,0.8919439762313836,0.898859570001853,0.7693742160919761
70,0.9005307095466868,0.9017133671290151,0.13115670959761438
71,0.9051864877328989,0.8994708669946265,0.6314301876718824
72,0.9037683288394035,0.8888638227444362,1.649151183922022
73,0.9044082312146702,0.8745965524241032,3.296263541357676
74,0.8934944772441961,0.8770296048959928,1.8427503210748264
75,0.8900746068839124,0.8843232815670513,0.6461621612817431
76,0.8785964905849829,0.8745927460192717,0.4556977644021116
77,0.8764037101994311,0.8743489556916045,0.23445296772636645
