Date,Buy-and-Hold,SMA-Cross-20-50,RSI-Mean-Revert,MACD-Cross,Momentum-20d,Bollinger-Revert,Donchian-Breakout,Volume-Spike,Z-Score-Revert,Random-Control
2026-04-23 00:00:00-04:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-04-24 00:00:00-04:00,1.0072492979600243,1.0,0.9917507020399758,1.0072492979600243,1.0072492979600243,1.0,1.0,1.0,1.0,1.0072492979600243
2026-04-27 00:00:00-04:00,1.0089845935862904,1.0,0.9900421074953265,1.0089845935862904,1.0089845935862904,1.0,1.001222806488702,1.0,1.0,1.0089845935862904
2026-04-28 00:00:00-04:00,1.0040749262864102,1.0,0.9948596016291046,1.0040749262864102,1.0040749262864102,1.0,0.9963509076468775,1.0,1.0,1.0084801012894973
2026-04-29 00:00:00-04:00,1.003919755448849,1.0,0.9950133483203115,1.003919755448849,1.003919755448849,1.0,0.9958527321930541,1.0,1.0,1.0084801012894973
2026-04-30 00:00:00-04:00,1.013908382982375,1.0,0.9851133362194295,1.013908382982375,1.013908382982375,1.0,0.9958527321930541,1.0,1.0,1.0084801012894973
2026-05-01 00:00:00-04:00,1.0167160107063926,1.0,0.9823854452575916,1.0167160107063926,1.0167160107063926,1.0,0.9981124353986944,1.0,1.0,1.005183265044735
2026-05-04 00:00:00-04:00,1.0129913939428696,1.0,0.9859842961255986,1.0129913939428696,1.0129913939428696,1.0,0.9944559705947382,1.0,1.0,1.0088656329822645
2026-05-05 00:00:00-04:00,1.0211177992049767,1.0,0.9780745468223958,1.0211177992049767,1.0211177992049767,1.0,0.993958742609441,1.0,1.0,1.0083612001657734
2026-05-06 00:00:00-04:00,1.035310764221256,1.0,0.9644798588861249,1.035310764221256,1.035310764221256,1.0,0.993958742609441,1.0,1.0,0.9938413641252811
2026-05-07 00:00:00-04:00,1.0321363925476417,1.0,0.9674370555555931,1.0321363925476417,1.0321363925476417,1.0,0.9904141812112519,1.0,1.0025661051573265,0.9933444434432185
2026-05-08 00:00:00-04:00,1.0406577859517538,1.0,0.9669533370278154,1.0406577859517538,1.0406577859517538,1.0,0.9899189741206463,1.0,0.9942888462045765,0.9933444434432185
2026-05-11 00:00:00-04:00,1.0430279731348113,1.0,0.9642675413674325,1.0430279731348113,1.0430279731348113,1.0,0.9916786398296876,1.0,0.9920242682507626,0.9951101982171852
2026-05-12 00:00:00-04:00,1.0414478483461063,1.0,0.9657283488283092,1.0414478483461063,1.0414478483461063,1.0,0.990176306199541,1.0,0.9935271254872267,0.9936026659820043
2026-05-13 00:00:00-04:00,1.0472745907958345,1.0,0.9603252454718041,1.0472745907958345,1.0472745907958345,1.0,0.9896812180464413,1.0,0.9879684921997065,0.9931058646490134
2026-05-14 00:00:00-04:00,1.0555420447992987,1.0,0.9527441918827256,1.0555420447992987,1.0555420447992987,1.0,0.9969991745970184,1.0,0.9801692157368584,1.0004491439141998
2026-05-15 00:00:00-04:00,1.0428445581048418,1.0,0.9642050870306325,1.0428445581048418,1.0428445581048418,1.0,0.9850059206890349,1.0,0.991960016147373,0.9884143891112809
2026-05-18 00:00:00-04:00,1.0421109840953062,1.0,0.9637229844871172,1.0421109840953062,1.0421109840953062,1.0,0.9845134177286905,1.0,0.9914640361392993,0.9879201819167253
2026-05-19 00:00:00-04:00,1.0351696293695565,1.0,0.9696603462779783,1.048010227836961,1.0351696293695565,1.0,0.9845134177286905,1.0,0.9914640361392993,0.9940066192383944
2026-05-20 00:00:00-04:00,1.0457791124740123,1.0,0.9691755161048393,1.0372691410719785,1.0457791124740123,1.0,0.9845134177286905,1.0,0.9914640361392993,0.9935096159287753
2026-05-21 00:00:00-04:00,1.0478529939678092,1.0014830970699833,0.9691755161048393,1.0352121356775348,1.0478529939678092,1.0,0.9845134177286905,1.0,0.9914640361392993,0.9910426351124625
2026-05-22 00:00:00-04:00,1.0519726849836797,1.0054204823151431,0.9691755161048393,1.0311421428832956,1.0519726849836797,1.0,0.9845134177286905,1.0,0.9914640361392993,0.9871462971111199
2026-05-26 00:00:00-04:00,1.0589563198876994,1.012095075366598,0.962256951439396,1.0242967937950185,1.0589563198876994,1.0,0.9845134177286905,1.0,0.9914640361392993,0.9805930192225538
2026-05-27 00:00:00-04:00,1.05877290485773,1.011919776872133,0.9624236177921738,1.024474205670847,1.05877290485773,1.0,0.9838506397673186,1.0,0.9914640361392993,0.9794425839778959
2026-05-28 00:00:00-04:00,1.0646136832933197,1.01750208747357,0.9619424059832777,1.018822637878692,1.0646136832933197,1.0,0.983358714447435,1.0,0.9914640361392993,0.978952862685907
2026-05-29 00:00:00-04:00,1.0672660540694336,1.0200370847630105,0.9590648584766245,1.0162843505795909,1.0672660540694336,1.0,0.9853169678287883,1.0,0.9884981778432272,0.9809023422861538
2026-06-01 00:00:00-04:00,1.0701723642461956,1.022814784052534,0.9585853260473862,1.0135168704940853,1.0701723642461956,1.0,0.9880001195321692,1.0,0.985806363273634,0.9835734723655991
2026-06-02 00:00:00-04:00,1.071625562389748,1.024203674847177,0.9585853260473862,1.012140605432617,1.071625562389748,1.0,0.9893417351330774,1.0,0.9844677265970829,0.9830816856294163
2026-06-03 00:00:00-04:00,1.0641058044920237,1.0170166834734036,0.9648325709261814,1.0192429484322898,1.0641058044920237,1.0,0.9888470642655109,1.0,0.9913758848399903,0.9830816856294163
2026-06-04 00:00:00-04:00,1.0681267269448074,1.0208596708907929,0.9643501546407183,1.0153915486571055,1.0681267269448074,1.0,0.9888470642655109,1.0,0.9908801968975703,0.9788753870942923
