Date,open,high,low,close,volume
2012-01-17 00:00:00-05:00,101.06144982075975,101.2479143253929,100.14468082484169,100.48652648925781,132209200
2012-01-18 00:00:00-05:00,100.46322154127367,101.65190462243088,100.28453379735942,101.59752655029297,163395200
2012-01-19 00:00:00-05:00,101.94716428787625,102.21909028547513,101.62086020365315,102.13362884521484,126328900
2012-01-20 00:00:00-05:00,101.96266974176149,102.51427459716797,101.71405042030038,102.51427459716797,138230200
2012-01-23 00:00:00-05:00,102.17245606561443,102.74737950791362,101.7606905781653,102.25015258789062,129295800
2012-01-24 00:00:00-05:00,101.62086020365315,102.16470034402498,101.46547899995062,102.13362884521484,103083300
2012-01-25 00:00:00-05:00,101.9782247181614,103.22906283266595,101.58200091350145,102.98822021484375,198613200
2012-01-26 00:00:00-05:00,103.44658445082673,103.64081387101591,102.05590701839434,102.45990753173828,184880500
2012-01-27 00:00:00-05:00,101.96267826445523,102.59197967412479,101.89274666518538,102.41329193115234,135259100
2012-01-30 00:00:00-05:00,101.39551006858065,102.11804958940365,101.0458995251986,102.06365966796875,147311800
2012-01-31 00:00:00-05:00,102.56868901503867,102.69298685063265,101.52761017631413,102.02484893798828,157212000
2012-02-01 00:00:00-05:00,102.77843783335942,103.43882262360731,102.65414001040051,102.91828918457031,166234500
2012-02-02 00:00:00-05:00,103.12026151691373,103.34557424167168,102.71627293255608,103.08141326904297,113090400
2012-02-03 00:00:00-05:00,104.10698176396555,104.58866699052366,103.92829399521406,104.5265121459961,160598500
2012-02-06 00:00:00-05:00,104.09145926370226,104.50322481157691,103.97492631801194,104.45661163330078,107694500
2012-02-07 00:00:00-05:00,104.239063641177,104.89944853742023,103.82729814040306,104.72074890136719,135528100
2012-02-08 00:00:00-05:00,104.77512512695083,105.05481598283585,104.34781800617876,105.03150939941406,139361400
2012-02-09 00:00:00-05:00,105.20246063351559,105.34230017177784,104.54207564551656,105.16361236572266,148602900
2012-02-10 00:00:00-05:00,104.23128417118686,104.4721267676401,103.9826648104457,104.38666534423828,167907500
2012-02-13 00:00:00-05:00,105.13254086438447,105.28792208072926,104.68192703860572,105.16361236572266,115841900
2012-02-14 00:00:00-05:00,104.88389313452701,105.09366424014671,104.3012048393352,105.03150939941406,165329500
2012-02-15 00:00:00-05:00,105.37333785659025,105.5287190055891,104.33225926317223,104.54203033447266,195195100
2012-02-16 00:00:00-05:00,104.5498489543494,105.79291049882477,104.36338438800617,105.6996841430664,186567800
2012-02-17 00:00:00-05:00,106.06478574430368,106.15024714778706,105.62971381923225,105.97932434082031,129869400
2012-02-21 00:00:00-05:00,106.22794952632933,106.47656887063842,105.69965120190676,106.02595520019531,134042300
2012-02-22 00:00:00-05:00,105.86278501380336,106.08809775034314,105.49763280340147,105.68409729003906,124455300
2012-02-23 00:00:00-05:00,105.62973512115879,106.22795321136184,105.27234776502247,106.1502685546875,137704300
2012-02-24 00:00:00-05:00,106.38333129882812,106.59310238993832,106.15026548073111,106.38333129882812,105539100
2012-02-27 00:00:00-05:00,105.67637916681166,106.84952096237109,105.5054562754286,106.56206512451172,145728900
2012-02-28 00:00:00-05:00,106.59310426352503,106.99710478003246,106.38333316872769,106.87279510498047,129355900
2012-02-29 00:00:00-05:00,107.02818915828884,107.36226996836373,106.08034851783151,106.45327758789062,185934700
2012-03-01 00:00:00-05:00,106.67855594819949,107.20686609154737,106.38332346059855,107.0048599243164,145023500
2012-03-02 00:00:00-05:00,106.93491964802865,107.07477095654829,106.43769294350726,106.67853546142578,120638300
2012-03-05 00:00:00-05:00,106.51543335266703,106.59311801848176,105.87835507693323,106.2435073852539,140765000
2012-03-06 00:00:00-05:00,105.15582980305572,105.21797279530104,104.38667690723959,104.6896743774414,202129900
2012-03-07 00:00:00-05:00,104.93051328667315,105.59089814044901,104.8295101819058,105.41997528076172,143692200
2012-03-08 00:00:00-05:00,106.06480711017548,106.68634363754695,105.84727110381895,106.46879577636719,116968900
2012-03-09 00:00:00-05:00,106.67081359678345,107.16026373704877,106.53873899672298,106.88058471679688,122836800
2012-03-12 00:00:00-04:00,106.86504485501327,107.02819095292828,106.5076574539201,106.88835144042969,104003500
2012-03-13 00:00:00-04:00,107.46327228269666,108.86949155807781,107.28457265904893,108.81510162353516,184090500
2012-03-14 00:00:00-04:00,108.84620180704303,109.11811595733634,108.3645046509691,108.6985855102539,145163600
2012-03-15 00:00:00-04:00,108.86172540719325,109.37449403362805,108.58203450684931,109.327880859375,165118500
2012-03-16 00:00:00-04:00,109.52608075664129,109.61971565859578,109.24516414399989,109.47926330566406,152893500
2012-03-19 00:00:00-04:00,109.4090260689342,110.24396497610545,109.330989054009,109.90843200683594,125291100
2012-03-20 00:00:00-04:00,109.28414522508713,109.7211238269115,108.96421021061792,109.58847045898438,121729700
2012-03-21 00:00:00-04:00,109.65089459361779,109.75232839755094,109.18269644380453,109.40899658203125,122388400
2012-03-22 00:00:00-04:00,108.605285601016,108.89401303795363,108.26195368447941,108.62089538574219,135216700
2012-03-23 00:00:00-04:00,108.71451947394898,109.09686981902928,108.11366790868405,108.97201538085938,120521000
2012-03-26 00:00:00-04:00,109.75235003769862,110.50146484374999,109.71334343983445,110.50146484375,120164000
2012-03-27 00:00:00-04:00,110.60293169548217,110.67315787317933,110.08791591214658,110.15814208984375,119868500
2012-03-28 00:00:00-04:00,110.10350730490053,110.27517920400025,108.96423123876382,109.61190032958984,148562100
2012-03-29 00:00:00-04:00,108.96423416154025,109.62751305374196,108.53505440227893,109.42462158203125,164963700
2012-03-30 00:00:00-04:00,109.96305611354308,110.06450185871408,109.28417928177427,109.8772201538086,135486800
2012-04-02 00:00:00-04:00,109.74451629322908,110.96962789107438,109.52602702467117,110.68090057373047,151741100
2012-04-03 00:00:00-04:00,110.52487412696101,110.71215580611975,109.58067869968595,110.22834777832031,155806700
2012-04-04 00:00:00-04:00,109.41682662256893,109.5104615164397,108.73013898277812,109.13591003417969,146896000
2012-04-05 00:00:00-04:00,108.76133755326941,109.4011957158099,108.66769077070218,109.08126068115234,137439400
2012-04-09 00:00:00-04:00,107.7078846260811,109.12026606445393,107.5596214860489,107.85614776611328,127555900
2012-04-10 00:00:00-04:00,107.64549338166377,107.94981869986587,105.93658509222993,106.04582977294922,235360300
2012-04-11 00:00:00-04:00,107.13047071996087,107.32555134484058,106.70910180920231,106.90418243408203,154133000
2012-04-12 00:00:00-04:00,107.00566055160496,108.38682322084645,106.92762351532669,108.30098724365234,154321500
2012-04-13 00:00:00-04:00,108.05124268685456,108.32436028705281,106.9119667543509,107.01341247558594,169246700
2012-04-16 00:00:00-04:00,107.559664029822,107.71572616803613,106.57646184297283,106.9432144165039,147825300
2012-04-17 00:00:00-04:00,107.55964803339681,108.74574153962695,107.45040336221615,108.52725219726562,147877600
2012-04-18 00:00:00-04:00,108.04344072103179,108.52723678085437,107.98101350254267,108.16048431396484,123884200
2012-04-19 00:00:00-04:00,108.17612270917387,108.58188187651965,106.95882139358132,107.46602630615234,198666700
2012-04-20 00:00:00-04:00,107.94204953221637,108.3322109147921,107.58309582126329,107.64552307128906,143199600
2012-04-23 00:00:00-04:00,106.54522242642385,106.83394983045918,106.07703609898464,106.74030303955078,171844900
2012-04-24 00:00:00-04:00,106.83393295990217,107.41917470686519,106.74809702740998,107.14605712890625,137484200
2012-04-25 00:00:00-04:00,108.19172489757214,108.65992322534771,108.09808999472827,108.61310577392578,150252200
2012-04-26 00:00:00-04:00,108.37898985318859,109.49485720225509,108.31656262535206,109.37000274658203,136291600
2012-04-27 00:00:00-04:00,109.69775508485252,109.861616166863,109.08910439525712,109.54949188232422,130725000
2012-04-30 00:00:00-04:00,109.33098132451006,109.40901833391821,108.84718520515221,109.1436996459961,115092200
2012-05-01 00:00:00-04:00,109.08125504977849,110.5404659272703,108.95641252409163,109.82257080078125,138832200
2012-05-02 00:00:00-04:00,109.1826836090059,109.60406427565782,108.82374205554763,109.49481964111328,121081000
2012-05-03 00:00:00-04:00,109.51043005147865,109.59626598178978,108.45700207777669,108.65988159179688,143759700
2012-05-04 00:00:00-04:00,108.09027596724808,108.69892656433066,106.84175520530735,106.90418243408203,193927300
2012-05-07 00:00:00-04:00,106.5218393625092,107.34118051634603,106.48283275590914,106.98223876953125,127765900
2012-05-08 00:00:00-04:00,106.34234914229035,106.72471145299215,105.28111006806674,106.55303955078125,213377700
2012-05-09 00:00:00-04:00,105.42156124119204,106.59984378141856,104.94556409984426,105.92096710205078,220752500
2012-05-10 00:00:00-04:00,106.65448444410696,106.78714976057795,105.89758249627494,106.13948059082031,150600000
2012-05-11 00:00:00-04:00,105.47617528868972,106.80272096104311,105.42935785070159,105.81951904296875,153032400
2012-05-14 00:00:00-04:00,104.80514816944552,105.81957014053349,104.4930238276248,104.64908599853516,163910000
2012-05-15 00:00:00-04:00,104.57881268599925,105.19526215070545,103.88432621760997,104.04818725585938,207629300
2012-05-16 00:00:00-04:00,104.51641186576637,104.99240913221232,103.62684457023536,103.65025329589844,207265500
2012-05-17 00:00:00-04:00,103.67366714134423,103.79852162223176,102.05839355015566,102.11302185058594,247992900
2012-05-18 00:00:00-04:00,102.51093857643914,102.69042128152988,101.09075815653092,101.23902130126953,319615900
2012-05-21 00:00:00-04:00,101.56679731409739,103.01819789553936,101.40292432130522,102.97917938232422,177861100
2012-05-22 00:00:00-04:00,103.24449686388182,103.96239233528327,102.48758287524316,103.15866088867188,197531200
2012-05-23 00:00:00-04:00,102.41733972071351,103.36153529159718,101.43413754583467,103.21327209472656,204958400
2012-05-24 00:00:00-04:00,103.49416707115314,103.6580281126616,102.5499716976188,103.41613006591797,167357600
2012-05-25 00:00:00-04:00,103.37711134819918,103.66583874154833,102.83088803301538,103.08059692382812,135465600
2012-05-29 00:00:00-04:00,103.9077479064231,104.50858766403043,102.35490183080432,104.32911682128906,152883500
2012-05-30 00:00:00-04:00,103.43955276431264,104.32132103417058,102.6046138479892,102.81529235839844,162370400
2012-05-31 00:00:00-04:00,102.7762862112361,103.35371726616624,101.70723624284895,102.58900451660156,196186000
2012-06-01 00:00:00-04:00,100.98155256167819,102.6124239709664,100.00614929199219,100.00614929199219,253240900
2012-06-04 00:00:00-04:00,100.18559306796317,100.45871067233125,99.21019006204143,99.95930480957031,202545800
2012-06-05 00:00:00-04:00,99.7642017004889,100.86445301283543,99.70957937935661,100.71620178222656,164149400
2012-06-06 00:00:00-04:00,101.41853410794698,103.02599683547098,101.38731453466347,102.97917938232422,184202800
2012-06-07 00:00:00-04:00,104.14963663206194,104.19645407320377,102.83088980828161,103.04158020019531,184772700
2012-06-08 00:00:00-04:00,102.77629112780137,103.88434775048091,102.44854516981815,103.8609390258789,143915400
2012-06-11 00:00:00-04:00,104.6958609534251,104.75828817780035,102.440729565012,102.54217529296875,169756100
2012-06-12 00:00:00-04:00,102.83868323811912,103.79067751293185,102.34708822568456,103.72045135498047,181931800
2012-06-13 00:00:00-04:00,103.41615456243463,104.06382375762114,102.7060581296277,103.05721282958984,172223900
2012-06-14 00:00:00-04:00,103.2678671620033,104.56320524883132,102.98695061192946,104.1496353149414,230615500
2012-06-15 00:00:00-04:00,104.61872996103742,105.30896383023776,104.39910846149994,105.21484375,169444500
2012-06-18 00:00:00-04:00,104.77559603628553,105.67761201390644,104.54028387780552,105.41876983642578,131360900
2012-06-19 00:00:00-04:00,105.95215822505706,106.86986498726279,105.39525311202193,106.43846130371094,137382600
2012-06-20 00:00:00-04:00,106.44628188158201,106.7521840473058,105.31679327937982,106.265869140625,206451800
2012-06-21 00:00:00-04:00,106.39134560819534,106.50115630943425,103.79509748224979,103.88137817382812,205272200
2012-06-22 00:00:00-04:00,104.42260777711878,104.87754131195601,104.02257361678626,104.68144989013672,130029200
2012-06-25 00:00:00-04:00,103.57546737888794,103.61468804785041,102.63423116612763,103.00288391113281,146375700
2012-06-26 00:00:00-04:00,103.30096266289152,103.83433757471573,102.6969977088831,103.52058410644531,141634000
2012-06-27 00:00:00-04:00,103.86571279990035,104.65791791111519,103.51275060058569,104.45398712158203,108088000
