entry_date,exit_date,entry_price,exit_price,return,result
2014-01-02,2014-11-18,79.04363250732422,94.99164581298828,0.20176215084986526,TP
2014-11-18,2017-01-06,94.99164581298828,114.5254135131836,0.2056366908164933,TP
2017-01-06,2017-08-31,114.5254135131836,137.98211669921875,0.20481657709391232,TP
2017-08-31,2018-06-05,137.98211669921875,165.98806762695312,0.202967975834023,TP
2018-06-05,2018-11-20,165.98806762695312,151.69784545898438,-0.08609186414583156,SL
2018-11-20,2018-12-24,151.69784545898438,137.16336059570312,-0.09581207181489629,SL
2018-12-24,2019-02-19,137.16336059570312,164.67250061035156,0.2005574950568119,TP
2019-02-19,2019-11-27,164.67250061035156,198.13514709472656,0.2032072529435524,TP
2019-11-27,2020-03-12,198.13514709472656,170.88668823242188,-0.13752461015549883,SL
2020-03-12,2020-04-16,170.88668823242188,205.95108032226562,0.20519089258815115,TP
2020-04-16,2020-07-06,205.95108032226562,249.98004150390625,0.21378358934920624,TP
2020-07-06,2020-12-17,249.98004150390625,300.8777160644531,0.20360695299649167,TP
2020-12-17,2021-08-23,300.8777160644531,362.6137390136719,0.20518642509235827,TP
2021-08-23,2022-01-27,362.6137390136719,332.1888732910156,-0.0839043380027835,SL
2022-01-27,2022-04-29,332.1888732910156,305.4435729980469,-0.08051233031378027,SL
2022-04-29,2022-05-24,305.4435729980469,280.081787109375,-0.08303263885940088,SL
2022-05-24,2022-10-11,280.081787109375,257.1557922363281,-0.08185464363698174,SL
2022-10-11,2023-03-30,257.1557922363281,310.1780700683594,0.20618737525189934,TP
2023-03-30,2023-07-13,310.1780700683594,373.0528259277344,0.20270535517071916,TP
2023-07-13,2023-10-26,373.0528259277344,338.6230773925781,-0.09229188506891456,SL
2023-10-26,2023-12-27,338.6230773925781,406.4923400878906,0.20042716290310356,TP
2023-12-27,2024-07-05,406.4923400878906,491.5502014160156,0.20924837429835463,TP
2024-07-05,2024-08-02,491.5502014160156,444.5806884765625,-0.09555384740795016,SL
2024-08-02,2024-12-16,444.5806884765625,533.9190673828125,0.2009497515791439,TP
