date,total,nobl,growth
2014-04-02 00:00:00-04:00,1026613.7364422173,717171.8679905242,309441.8684516931
2014-04-03 00:00:00-04:00,1024639.5701802301,717654.1592789016,306985.4109013285
2014-04-04 00:00:00-04:00,1011171.5704380074,712351.0800846843,298820.490353323
2014-04-07 00:00:00-04:00,1001424.8688632511,705441.4388686572,295983.42999459384
2014-04-08 00:00:00-04:00,1006729.0208824826,708012.426061449,298716.5948210336
2014-04-09 00:00:00-04:00,1017634.4226183267,713797.3243267249,303837.09829160187
2014-04-10 00:00:00-04:00,996814.6260074136,702388.2390903746,294426.38691703905
2014-04-11 00:00:00-04:00,987604.4635813888,696603.1834193256,291001.28016206314
2014-04-14 00:00:00-04:00,993905.4611058938,700620.6509628174,293284.8101430764
2014-04-15 00:00:00-04:00,1000498.1977885894,706244.6805281189,294253.51726047054
2014-04-16 00:00:00-04:00,1011960.3019008684,713797.3243267249,298162.97757414356
2014-04-17 00:00:00-04:00,1014921.9174574733,716689.7341079196,298232.1833495537
2014-04-21 00:00:00-04:00,1018100.6957904499,717654.1592789016,300446.5365115483
2014-04-22 00:00:00-04:00,1020969.6010644024,718135.8996470738,302833.7014173285
2014-04-23 00:00:00-04:00,1017663.0826917212,717493.3692818136,300169.71340990753
2014-04-24 00:00:00-04:00,1020213.2156904745,717171.8679905242,303041.3476999504
2014-04-25 00:00:00-04:00,1011191.5057233389,712993.9252614903,298197.58046184864
2014-04-28 00:00:00-04:00,1016659.7726866219,717493.3692818136,299166.4034048083
2014-04-29 00:00:00-04:00,1019529.2660034588,717975.5818673046,301553.68413615413
2014-04-30 00:00:00-04:00,1023217.3105507394,720867.9916484994,302349.31890224
2014-05-01 00:00:00-04:00,1022349.281677949,719100.4035209423,303248.87815700675
2014-05-02 00:00:00-04:00,1022599.2209020667,719903.9599919498,302695.2609101168
2014-05-05 00:00:00-04:00,1023869.3076632541,719582.4587006603,304286.8489625938
2014-05-06 00:00:00-04:00,1014461.3752705706,714118.5895093549,300342.7857612158
2014-05-07 00:00:00-04:00,1021631.0599690505,722153.2884876791,299477.77148137137
2014-05-08 00:00:00-04:00,1021032.8224452944,721831.7871963895,299201.0352489048
2014-05-09 00:00:00-04:00,1024550.6602730266,724242.5353122987,300308.1249607279
2014-05-12 00:00:00-04:00,1035283.1181069443,730027.5909833476,305255.5271235966
2014-05-13 00:00:00-04:00,1034687.1871284549,729223.9558094536,305463.2313190013
2014-05-14 00:00:00-04:00,1029881.6590471021,726010.0447369693,303871.6143101328
2014-05-15 00:00:00-04:00,1020423.7689067647,718939.3774151949,301484.3914915698
2014-05-16 00:00:00-04:00,1026573.8364175697,723117.3988471151,303456.43757045455
2014-05-19 00:00:00-04:00,1030613.0033160412,725045.9343775333,305567.06893850793
2014-05-20 00:00:00-04:00,1022114.0226800209,717654.1592789016,304459.8634011193
2014-05-21 00:00:00-04:00,1029037.4252135307,721671.4694166204,307365.9557969103
2014-05-22 00:00:00-04:00,1030868.554210348,722153.2884876791,308715.265722669
2014-05-23 00:00:00-04:00,1035045.6730661371,724081.5092065512,310964.1638595858
2014-05-27 00:00:00-04:00,1042456.1373843306,727617.0002732114,314839.1371111193
2014-05-28 00:00:00-04:00,1040041.1281121132,726170.7560311708,313870.3720809424
2014-05-29 00:00:00-04:00,1046225.8853797975,730348.7774630912,315877.10791670636
2014-05-30 00:00:00-04:00,1048831.7821055525,732920.1581703153,315911.6239352373
2014-06-02 00:00:00-04:00,1048841.4141465686,733241.1872442858,315600.2269022829
2014-06-03 00:00:00-04:00,1047738.7927433222,732276.9194790769,315461.87326424534
2014-06-04 00:00:00-04:00,1051164.96764649,734526.7988950114,316638.1687514786
2014-06-05 00:00:00-04:00,1058328.3788841306,739026.1642124483,319302.21467168233
2014-06-06 00:00:00-04:00,1062733.0585177694,741597.1514052401,321135.90711252944
2014-06-09 00:00:00-04:00,1065544.116785003,744650.4298864092,320893.68689859385
2014-06-10 00:00:00-04:00,1063687.4662995907,742240.0752849325,321447.39101465803
2014-06-11 00:00:00-04:00,1059922.2653155867,738544.1090327302,321378.1562828565
2014-06-12 00:00:00-04:00,1051392.0483190324,732920.1581703153,318471.89014871715
2014-06-13 00:00:00-04:00,1052326.268374287,732920.1581703153,319406.11020397174
2014-06-16 00:00:00-04:00,1053406.374715597,733723.5572355499,319682.8174800469
2014-06-17 00:00:00-04:00,1055668.0768922488,735812.3318428505,319855.74504939816
2014-06-18 00:00:00-04:00,1064537.9206363396,742882.9991646251,321654.9214717144
2014-06-19 00:00:00-04:00,1066097.8209010672,744650.4298864092,321447.39101465803
2014-06-20 00:00:00-04:00,1067440.0148628175,745614.5402458453,321825.4746169721
2014-06-23 00:00:00-04:00,1065741.6985897408,743846.8734154017,321894.8251743392
2014-06-24 00:00:00-04:00,1062215.6004954472,740633.0410458039,321582.55944964325
2014-06-25 00:00:00-04:00,1066455.832466822,742826.4904921291,323629.3419746927
2014-06-26 00:00:00-04:00,1065177.519640836,741374.8157509211,323802.70388991473
2014-06-27 00:00:00-04:00,1068373.8288133177,743148.7001093971,325225.12870392064
2014-06-30 00:00:00-04:00,1069251.8036567355,743471.6967555297,325780.1069012057
2014-07-01 00:00:00-04:00,1075405.23857426,746051.9708889266,329353.2676853332
2014-07-02 00:00:00-04:00,1075153.971778581,745245.5811140056,329908.3906645753
2014-07-03 00:00:00-04:00,1081267.1568264551,749277.2938799511,331989.86294650397
2014-07-07 00:00:00-04:00,1078164.4718583287,747180.7276868884,330983.74417144037
2014-07-08 00:00:00-04:00,1070788.4487862189,743794.142481457,326994.30630476197
2014-07-09 00:00:00-04:00,1074507.1316707511,745084.3976024853,329422.7340682659
2014-07-10 00:00:00-04:00,1070724.4014428598,742342.3890373625,328382.0124054972
2014-07-11 00:00:00-04:00,1072034.4595619012,741536.3140739874,330498.14548791375
2014-07-14 00:00:00-04:00,1076430.6717974425,743955.3259929775,332475.345804465
2014-07-15 00:00:00-04:00,1073511.9051788577,742181.2055258421,331330.6996530156
2014-07-16 00:00:00-04:00,1076120.578213565,743471.6967555297,332648.8814580354
